"uniqueIndex","idea"
"lzmgkuagfv33b-AIRLHD-63","This is a small handheld car with a computer, and a corresponding app. The child can play with the toy by pushing it around the house (or any given location). The car automatically maps the location and sends this information to the app. The child can then access the map in the app. Hereafter, the car self-drives around the mapped location, but the child must use the app to try and chase the car (with monsters, or other cars or some silly bullshit like that). The child will watch the car drive around their house, and the car will announce what it's doing """"Oh no, the monsters nearly got me"""", """"Look out, there a parade of fascists over there that represent a serious threat to democracy and decency, I better go collect that minority individual on the other side of the street and drive them to safety"""" and so on. (Or, you know, whatever kids think about)."
"lzmgkuagfv33b-AIRLHD-63","Car + computer, etc. This is a remote controlled toy with an app. The child drives it around outside. Much like the mars rover, it is taking readings of the environment in real time - temperature, humidity, soil quality, and other things. It then provides recommendations for how to interact and look after the environment. """"Car detects the scent of a fox. Look around for local wildlife"""" """"Car detects unacceptable levels of heavy metals, leave the area immediatly and inform your local environmental authority"""" etc."
"lzmglknumpcri-AIRHHD-64","a jump maths mat - the mat has sections with numbers and patterns - the visual prompts make the child jump on the correct answer"
"lzmglknumpcri-AIRHHD-64","robot build racer - assemble a car with easy to connect parts - allowing coding to learn and small motor skills to create"
"lzmglknumpcri-AIRHHD-64","maths treasure quest - sturdy plastic treasure chests and coins with maths symbols and numbers - solving puzzles opens the correct chests to receive more coins to make harder puzzles"
"lzmgltmuxahj6-HMNLUT-65","A car that becomes a boat when in water. The wheels lift up and become part of the boat. The cognitive part of the toy is how the wheels will fit smoothly into the underside of the boat."
"lzmgltmuxahj6-HMNLUT-65","A boat that can temporarily drop wheels down to travel over low water areas where the land is very close to the surface. The cognition is using your judgement to know when this is needed. Without this the bottom of the boat will become damaged and travel will not be possible."
"lzmgltmuxahj6-HMNLUT-65","A large boat which has small vehicles aboard that are used to move from one area to another. Not all areas will be accessible. The cognition will be designing parts of the boat to be as user friendly and accessible as possible. Similar to making a place accessible for disabled people and wheelchairs."
"lzmgm0c92iy2g-HMRLUT-67","A little robot car - it would have a look of a robot, but functionality of the car. There could be a lot of buttons that would include Space for jumping, Enter for moving and Esc for making a """"Goodbye sound."
"lzmgm0c92iy2g-HMRLUT-67","It could be lego that would include car and computer. Kid would be able to build a little office space where they would have a little toy person that would arrive to the office in their car and they could then go to the office to work on a computer."
"lzmgm0c92iy2g-HMRLUT-67","This could be a tablet style of computer that would have a wheels and have a remote control. So that kid can either play games on the tablet or send it somewhere else by using the remote control for the tablet."
"lzmgnwy8k36m7-HMNLHD-69","a large boat designed for carrying smaller cars across imaginary rivers/oceans, see how many cars you can fit into the boat , choose your favourite cars to take on a journey"
"lzmgnwy8k36m7-HMNLHD-69","cars vs boats , similar to battleships but this time it is different cool boats vs different cool cars on each side"
"lzmgnwy8k36m7-HMNLHD-69","a toy car that can has wheels that can drive but then with a touch of a button it becomes a boat that can float on water."
"lzmgny4xwl514-HMNHHD-70","Floating pedalo for non-swimmers. An inflatable ring with a pedal function. The child can safely sit in the seat of the ring whoch is a secure flotation device, but there is a rotating pedal function to allow them to move around the pool using their feet. This can strentgthen leg muscles, provide fun, and be used by non-swimmers."
"lzmgny4xwl514-HMNHHD-70","A floating arm-cycle. This is harnessed onto the child across the back, with arm rests and then a cycle powered by their arms/hands. The cycle has small paddles enabling them to move around the water powered by arm cycling."
"lzmgny4xwl514-HMNHHD-70","An inflatable float with flippers attached. the child holds the float with their arms to float upper body and the attached flippers powered by their feet to move around the water."
"lzmgo5ktbs8cj-HMRLHD-71","a remote control car which can be programmed to complete different routes and have different sound effects, lights and noises"
"lzmgo5ktbs8cj-HMRLHD-71","a computer which simulates the feeling of driving a car. it can be programmed to drive on different terraines an differnt places."
"lzmgo5ktbs8cj-HMRLHD-71","a computer which aids the design of a toy car which the child can build and contruct themselves. design freedom."
"lzmgp3yx6vi4q-AINLUT-73","Have a car with the boat with a hole for the car to fit into so it can float and be use as car and needs to be fitted together"
"lzmgp3yx6vi4q-AINLUT-73","The toy can switch between a car and a boat, parts are able to be removed and added to change the function of the toy. The child has to decide what configuration is best suited for the type of play."
"lzmgp3yx6vi4q-AINLUT-73","The toy comes with a dock/garage where once in areas of the toy can be unlocked to add/replace a new module which will change the function of the toy between land an water configurations"
"lzmgpebtkt7ly-AINHUT-74","a floating lego toy to be played during bathtime. ideally the pieces should be big enough so that it will not be a choke hazard. kids can try to create shapes/structures while bathing"
"lzmgpebtkt7ly-AINHUT-74","create a water maze with floatable pieces. kids can try to navigate it with remote controlled water crafts, these water crafts can be built with lego technic or bought readymade from store"
"lzmgpebtkt7ly-AINHUT-74","a snakes and ladders game for bathtime. the dice should be floatable but they have to use a water gun to move the pieces by shooting water at it"
"lzmgqfg39m97z-AIRLUT-75","a car set up like a mechanics garage where the child works with the computer to diagnose problems and repair the car"
"lzmgqfg39m97z-AIRLUT-75","computer software to allow design of multiple combinations of car parts. The child then builds the toy, while learning about about reuse and recycling and produces multiple toy options from the same parts."
"lzmgqfg39m97z-AIRLUT-75","a voice controlled car where the child learns to give directions and instructions such as distance and angles to turn"
"lzmgr563cdee7-AIRHUT-76","Mini Tesla solar-powered games console that allows the more inquisitive child to take quick trips to Mars and back to visit Muskland. Back home in time for tea and cake."
"lzmgr563cdee7-AIRHUT-76","Solar panelled full body costume (designed to be the super-hero of your choice) that is equipped with plutonium powered computer technology. Trouble is - only works when the sun shines. Solve that problem kids!"
"lzmgr563cdee7-AIRHUT-76","Mummy and daddy won’t let you have a pet? They’ll have to when they see what you brought homew from school! The totally interactive herd of buffalo (you ride ahead on the lead buffalo) driven by AI technology. Flattens all people and neighbourhoods it encounters! Hey kids - who do you want to see under a stampede?! (Only do this at home.)"
"lzmgrjfsfw0ym-AINLHD-77","Magnetic transforming boat/car. Interchangeble pieces to design the child's idea of a boat/car. The boat always floats on water and the wheels of the car retract."
"lzmgrjfsfw0ym-AINLHD-77","Rescue Rover and boat combo. The toys click together to form one vehicle but can be disconnected to play with separately."
"lzmgrjfsfw0ym-AINLHD-77","Water toy that floats on the water. The wheels retract when the toy is on water. The wheels automatically pop out when on ground."
"lzmgrsakrr0ed-AIRLHD-79","An Electric car with a built in computer system that can integrate advanced navigation and enhanced safety features so that children can safely drive even without parental supervision."
"lzmgrsakrr0ed-AIRLHD-79","A computer programmed remote control car that integrates programmable software which enables customization of car behavior, such as creating preset paths, implementing obstacle avoidance and with autonomous driving features."
"lzmgrsakrr0ed-AIRLHD-79","Smart Track Racer kit, that includes toy cars equipped with sensors and a track featuring embedded, programmable LEDs. The Cars can be controlled using a tablet or smartphone app where kids can program their routes, speeds and even create racing."
"lzmgsnd911gyz-HMNHUT-82","This toy will combine the connective properties of a child's construction set similar to a lego or mechano set and those of a pool floatation device similar to a pool noodle. This will allow the child to construct simple or intricate forms to play and interact with in the pool."
"lzmgsnd911gyz-HMNHUT-82","This toy re-imagines the pedal boat as a modular design. Each buoyant section can be interlocked in a range of configurations allowing the rider to design a boat with differing designs. If combined with a friend's set the boats can become more intricate and have multiple drivers propelling the vehicle."
"lzmgsnd911gyz-HMNHUT-82","This toy, named """"Swim mates"""", will be a collectable form of floatation device focused on cute anime monster characters. Each will have a quirky """"super skill"""" such as a water gun, bubble maker, horn blast, wave maker etc. and come with wearable accessories such as armbands, goggles, swim hats, ankle ropes that match each creature. These could be sold separately."
"lzmgt14xglcbz-HMRLUT-83","My first idea is a car toy that has a computer inbuilt into it. It is a small pocket car shaped toy, and the computer is hidden behind the car's window screen. The car can move by itself, taking the child on a different 'adventure' each day, to learn something new. The computer knows what the weather is like on each day, and if it's appropriate for the child to be inside or out. The adventures are taught like lessons, introducing the child to new ideas and building on lessons learnt the day before e.g. learning about plant identification one day, and photosynthesis the next."
"lzmgt14xglcbz-HMRLUT-83","The second idea is a computer that is shaped like a car, but remains static. The car shape makes the computer engaging to the child and hosts a number of cognitive ability, interactive games that the child can play each day. The car shape gives the computer personality, and helps the child to engage."
"lzmgt14xglcbz-HMRLUT-83","The third idea is a self driving car that hosts a computer specifically designed to teach children about the world, with a focus on the natural world, meditation and humans place in nature. It would take the child on a tour of these locations, where they would remain inside th vehicle, and tour each of these locations. The computer would engage the child in complex, philosophical discussions about the world around them to get them to think abstractly."
"lzmgtypmj06df-HMNLHD-85","Complete combination of the main functions of these two toys, i.e. a car-boat. With the shape of a boat, but with wheels, this new vehicle would be able to float in the water, yet wheel around, or 'be driven' when on land. Working wheels would be attached to the bottom of the boat, which can be used on land when the child wants. -For example, on an island which the child finds whilst sailing."
"lzmgtypmj06df-HMNLHD-85","Both the car and the boat would have a hook for pulling on the front, and a hoop which the hook can be slotted into on the back. The child can take turns using either vehicle to pull the other during their imaginative play."
"lzmgtypmj06df-HMNLHD-85","The car would be much bigger than the boat. On the car´s roof their would be space for a big pool which the boat can sail around in. Their would also be a ramp which comes from the side of the car which the boat can slide down from into water, should the child 'come across' a lake or some water source."
"lzmguzgphq9n6-HMRHHD-88","The 'measure ball' - A ball shaped device that measures how far and fast it has been kicked/thrown. It can be used in games like football and bowling, or simply during a game of throw and catch. The aim is to get the ball moving as fast and as far as possible."
"lzmguzgphq9n6-HMRHHD-88","A robot that can be programmed to move in certain directions. e.g. forward for 1 meter, left for 30 cm, forward again. The robot could come with a set of maps/mazes that it has to be navigated round."
"lzmguzgphq9n6-HMRHHD-88","A remote control car that is controlled by a steering wheel, instead of using buttons, you control the car by physically turning the steering wheel left and right, tilting up and down to move faster and slower."
"lzmgvtpo91zgs-AINLUT-89","Magic Morphing Vehicle: The toy is a high-tech vehicle capable of transforming from a car to a boat with a push of a button, incorporating flashing LED lights and interesting sound effects to enhance the play experience. To enhance the cognitive play, the toy comes with a variety of modular parts and decorative stickers to encourage creative design and fosters a sense of ownership and innovation. Pair the toy with the accompanying Adventure Playmat and Mission Cards which features diverse terrains such as roads, lakes and rivers which children are required to navigate to solve problems or achieve specific objectives such as crossing the windy lake or rescuing stranded characters."
"lzmgvtpo91zgs-AINLUT-89","Adventure DIY Car-Boat Kit: An all-in-one creative and educational set which allows children to build their own car-boat hybrid. The kit would include various modular pieces which as wheels, axles, propellers, rudders etc. allowing for children to construct both a car and a boat, a designed to be easily assembled and disassembled. An educational illustrated guidebook would be provided with step-by-step instructions and educational snippets about physics principals. Interactive challenges will also be included in the guidebook to encourage repeated play and promote further cognitive play, such as making your vehicle float with additional weights etc."
"lzmgvtpo91zgs-AINLUT-89","Galactic Rover Hybrid: A high-tech toy which takes children on space-themed missions to stimulate their cognitive and creative abilities while introducing them to STEM concepts. Included is an expansive intergalatic playset for children to build and customize terrains for space exploration, and bring this world your child has created to life with the interactive hologram projector."
"lzmgvya9s8vrq-AINHUT-90","Submarine explorer This toys submarine floats and submerges slightly to mimic real underwater exploration. It is equipped with interchangable educational tools including a camera, magnifying lenses, calculators, sensors like a microphone and informational cards that teach marine biology and maths. You can control this using a remote but it also connects via bluetooth to an app. The app can be used to view the camera, magnifying lenses and track the sensors. For holiday periods, it has purchasable skins to make it look like Santa's underwater workshop, a halloween sub or Easter egg detector."
"lzmgvya9s8vrq-AINHUT-90","Character surfer A floatable surf board is the base of the toy. This contains a speaker and motor to move it. It is controlled using a remote and connectable app. Children purchase characters to attach to the surfboard. Each character has unique educational features e.g. Maths wizard for arithmetic or a language squirrel to expand vocabulary. Licenses permitting, you could also create well-known children's characters including Disney characters. The characters can offer a variety of different learning experiences including setting the children challenges to complete in the real world."
"lzmgvya9s8vrq-AINHUT-90","Treasure hunt adventure A floating island which includes a treasure chest, map and clues scattered on a variety of other floating objects. Children paddle or push pieces around the pool to find and collect the clues which leads to the treasure chest. Each clue has an educational element including deductive reasoning or memory. Each map/set of clues can be pitched to different age groups but the base island can remain the same. Like an escape room, the island times the children to see if they can beat their previous time. The sets are designed to be used multiple times as the clues and questions are generated from a bank. This product would be easily expandable for holiday seasons by releasing new sets of maps / clues for Christmas/Easter/Halloween."
"lzmgw2u8vfhho-AIRLUT-91","Music-making smart car: A musical toy car that children can control via a music-themed computer interface. The car moves and does other actions based on musical notes or patterns set by the child in the computer interface."
"lzmgw2u8vfhho-AIRLUT-91","Smart car science lab: A toy car equipped with different sensors that can be attached or detached. The sensors could measure different environmental factors such as temperature, light, sound - this information gets sent back to a computer interface. Children could conduct scientific experiments and do different challenges and use the computer interface to anaylse this data."
"lzmgw2u8vfhho-AIRLUT-91","Interactive storytelling car: A car with a built in computer that can connect to a storytelling app. The children can setup the car onto physical story boards that come with the car. The car would move and light up as the story progresses. The app can prompt children with comprehension questions and vocabulary games."
"lzmgx2nzlxl10-AINLHD-93","A boat that can be used as a bath toy but the boat is a ferry that carries cars. The boat can float around the water and have a couple of cars on there too. The boat can be stuck to the side of the bath and the ramp to get the cars on can be used as a slide to slide the cars into the water."
"lzmgx2nzlxl10-AINLHD-93","Creating a car track that cars can go around but so can boats. The cars and boats have little wheels on the bottom that when put on the track move along but won't work when on the normal floor, allowing them to move around the track. The track can be two different colours on either side, one side green to be like the jungle and the other side blue to be like the sea."
"lzmgx2nzlxl10-AINLHD-93","A ride along car that can be used in the water as a boat. A remote control car that can fit little children in and controlled with a remote to drive it. Inflatables can be added to the side to create a float mechanism around it and turns into a boat that can be used on shallow water."
"lzmgxlfxdp27i-AINHHD-94","please generate a pool toy that allows kids to use it to help learn to swim. has to float. has to be big enough to support a child. make it colourful. make it resemble a water based creature. make it inflatable for easy storage"
"lzmgxlfxdp27i-AINHHD-94","inflatable pool toy, sea animal shaped, for riding/sitting on, with paddles for movement, allow a tether to let parents pull the floaty"
"lzmgxlfxdp27i-AINHHD-94","a fun, handheld, waterproof pool toy. can be thrown and retrieved, shaped like a rocket. makes a cool impact when thrown into water"
"lzmgxqjm2usic-AIRLHD-95","The """"TravelTech WIZ"""" is a handheld interactive device, specially designed for long car journeys. Featuring a compact design with a robust touchscreen. It includes sensitive gyroscopes and an accelerometer enabling fun balancing games that respond to the cars movement and speed."
"lzmgxqjm2usic-AIRLHD-95","The """"GEOAdventure Quest""""- a GPS-enabled computer toy for engaging fun on long car journeys. As the family travels, the toy uses real-time GPS data to create virtual adventures based on the cars location."
"lzmgxqjm2usic-AIRLHD-95","The """"Turbo Trailblazer""""- a car-themed interactive tablet that comes with augmented reality apps. It promotes STEM learning based around creating dynamic virtual racetracks for miniature racecars on different household surfaces. The tracks can then be used to play competitive racing games on."
"lzmgyr95s5hj9-AIRHHD-96","The RoboSkater Pro This toy combines a mini robot with roller skates that children control via an app. Each robot has sensors and an AI module that allows it to perform trickers, races and obstacle courses. The app includes programming challenges where kids can code new stunts or choreograph skate routines."
"lzmgyr95s5hj9-AIRHHD-96","CodeBots Racing League A set of customisable miniature cars that children can program using a simple drag-and-drop coding interface on a tablet or computer. The cars can race on modular tracks that include various terrains and obstacles. Each car has an onboard computer to execute commands like acceleration, braking and turning."
"lzmgyr95s5hj9-AIRHHD-96","Hover Dino 3000 This toy is a hover-enabled dinosaur robot that children can control via tablet or a remote. The hover technology allows it to move seamlessly over floors and carpets. Through an accompanying app, kids can program the Dino to perform tricks such as navigating mazes or playing games with them. Equipped with sensors, the Dino can react to voice commands, and can help kids to learn coding through play."
"lzmgzfmqhwkwb-HMNHUT-98","the idea is a bath toy which floats. The toy is made up of a floating inflatable pool and in the pool there is a family of different sized ducks. the ducks are in a variety of colours and weights. Some of the ducks will float upright on their own, others will tend to tilt or turn upside down and the child has to work out how to make the whole family float upright using a variety of other floating aids included in the game. For example a life ring which will fit around the neck of one of the ducks to make it float correctly. It only fits one duck however. There is also a ball which will sit on the back of one of the ducks and which will make it float properly. Two of the ducks have to work together to ensure that both of them can float correctly. One of the ducks will start to quack when it is given a fish. The child has to work out how to make all the ducks swim correctly and how to make the largest duck quack"
"lzmgzfmqhwkwb-HMNHUT-98","A floating fish game- the child has to catch the fish in a net. Each fish has a number on it. There is a random number generator app which can be loaded onto the adult's mobile phone. When the app generates 6, for example, the child must catch fish that add up to 6"
"lzmgzfmqhwkwb-HMNHUT-98","a water based """"Blow football"""" game. The child has a straw which they must use to blow items from one side of the """"pitch"""" to the other. The items must be blown across the surface of the water according to the instructions given by the supervising adult. For example: All the fish, or something you can eat or something that is the same colour as our car. etc"
"lzmgzjqrc4epw-HMRLUT-99","A toy car big enough to sit with an integrated dashboard computer. It reacts as the child drives the car. As the kid drives the car they can see their speed and other data like calculating their ETA or ap times."
"lzmgzjqrc4epw-HMRLUT-99","Small toy car that combines augmented reality tracks via a computer. Kids can race their cars around the AR track. Split times are given and kids can solve math problems to receive boosts."
"lzmgzjqrc4epw-HMRLUT-99","A toy steering wheel to be used in a real car during journeys. The wheel is linked to the car's computer and gives other fun trivia questions and activities to work on while the child plays with it"
"lzmgzmzdyxtgi-HMNLHD-101","My first idea is that, multi terrain cars/boats already exist. As do toys that depict a creature on land or in the water. However, I do not recall any toy that depicts a creature that can be on land or in water. So, taking the concept of an RC car, that also has a motor that functions across water like an RC boat, have the body of the toy be an amphibian being. The children's action figures or dolls could ride atop this toy. It could be an amphibious reptile, like a newt or frog. Or it could be something more mystical like a water dragon or a kelpie."
"lzmgzmzdyxtgi-HMNLHD-101","We know that cars and boats are often used for travel and/or transport. But what else can they be used for? Combat! So, we design a toy that allows for all terrain combat. One way with which to accomplish this could be with lasers. Have a futuristic style vehicle that can work on land and water with a remote control and children can 'shoot' eachothers toys which would temporarily disable them. Another way it could work is with a mobile app so that points and damage can be tracked, even with an online leaderboard. My favourite idea as to how it would work would be with a more visual aspect. Have the toy look damaged, like have a part that comes off when it was been hit too much. The main issue that I can see is that a part that comes off could be difficult to retrieve, particularly in water."
"lzmgzmzdyxtgi-HMNLHD-101","My third idea is likely the most difficult to create for real. But so far I have mentioned remote control toys, which are great. But children like to be active. There are many motorised cars in which children can sit and drive around in. But I have yet to see one that can also function as a small boat. Obviously this would have the caveat of safety, as it is already questionable whether a small child should have a toy that they can drive in, let alone across bodies of water. But I think it would be very popular with children."
"lzmgzsfmm27wm-HMNHHD-102","As a musician I like the idea of trying to incorporate music into the toy. I had an idea of a small boat (almost like a pedalo) that is able to play music for children and if the child can pedal to the beat of the music it will give positive rewards like """"well done"""" or gains speed. I feel like this would be a very fun toy as not only does it encourage mobility and has floatability but most importantly it would be very fun for the child."
"lzmgzsfmm27wm-HMNHHD-102","Another idea could be similar to arm bands but customizable for example. The arm bands would have to be very waterproof but if they had maybe small screens in them and the child could choose a photo or gif to have for personalisation."
"lzmgzsfmm27wm-HMNHHD-102","Another toy idea could be a ball (again using technology) that can tell how deep it has gone under water by pressure. It could also give rewarding features when it has been pushed underwater at new personal records. This could be a fun way to teach children to swim and stay underwater in a fun way."
"lzmgzzglr5xbt-HMRLHD-103","A remote controlled car which uses the computer to control and move the car making it do backflips etc. the car could have a course which it goes round on and the kids can edit this how they like. the computer controls the speed and direction of the car."
"lzmgzzglr5xbt-HMRLHD-103","The computer changes the design of the car, you can design your own car through drawing on the computer and then it gets made and sent out to you. this could be fun for the kids as it gives them an opportunity to design their own car, choosing the colours and pictures that go on it."
"lzmgzzglr5xbt-HMRLHD-103","the car has a camera on it and you can drive round using the computer and see lots of different things. this would be exciting for the kids as they can control where the car goes and even take it outside and drive it from their garden."
"lzmh21j7q9w5i-AINHUT-106","There is a water maze board in which a child has the ability use a remote controlled boat to decide the best way to get the boat through the maze from one end of the maze to the other end."
"lzmh21j7q9w5i-AINHUT-106","Set of waterproof puzzle pieces that can float in water, which can be used during bath time or swimming pool, that the child can play and put together into 3D animals shapes or vehicles. Can be played by oneself or together with other children."
"lzmh21j7q9w5i-AINHUT-106","This is a racing game in which children use a set of different weighted rings to toss into different floating baskets in the pool. The aim is to fill up all the baskets as quickly as possible without sinking the baskets, and using up all the rings in their possession (the rings are of different weights)."
"lzmh2edmkoctl-AIRLHD-111","a toy car with built in learning games such as maths and language. It includes a screen on the car to answer questions and when answered correctly the car moves."
"lzmh2edmkoctl-AIRLHD-111","a toy car with a separate tablet that controls the car used to answer questions and when answered correctly they can control the movement of the car eg left or right. This could also include voice command to help with speech."
"lzmh2edmkoctl-AIRLHD-111","A toy car with a small screen which controls movements of the car such as press the red button to move forward. Enhancing motor skills and critical thinking."
"lzmh2jzz0wgpd-AIRHUT-108","I thought of something like a game in which children might race each other or aim to beat a personal record. They ride a tricycle which moves in staged, each time they perform a basic maths problem. The interface being physical and in the form of an abacus. The AI take on this was pretty decent for such a lame idea."
"lzmh2jzz0wgpd-AIRHUT-108","I had an idea around angular momentum and the old toy which would draw curves and such like with a pen tied to an off-centred pendulum. Could something like this be done with a spinning top which can be shifted whilst in motion, a means to intuitively grasp which inputs lead to which function effects? e.g.think of Fibonaccis sequence and have the spinning top draw it"
"lzmh2jzz0wgpd-AIRHUT-108","I wanted to see what the AI would do when asked to go outside of the realm of what is physically possible. Not sure this follows your brief too much but oh well... Also, I was interested in the AI answer because I have seen it said paper cannot be folded more than 8 times so I don't know the actual answer"
"lzmh2o3soqi2s-AIRLUT-107","Presenting the """"BrainyBot Racer"""": a toy car that transforms into a mini-computer. The BrainyBot Racer features a sleek, customisable car that docks into a console to reveal and interactive screen. Children can race the car in physical and virtual environments, with the console providing challenges that incorporate coding, math and logic puzzles. To advances through levels and upgrade their car, kids must complete these challenges, thereby enhancing their computational thinking and problem-solving skills. This toy combines the excitement of racing with educational content, promoting critical thinking and creativity while keeping kids engaged in fun, hands-on learning experiences."
"lzmh2o3soqi2s-AIRLUT-107","Introducing the """"Cognitruck"""": an innovative toy truck that integrates cognitive challenges with construction play. The Cognitruck comes with detachable modules and a touchscreen remote with educational tasks. Children use the remote to navigate the truck and complete spatial puzzles that help them learn geometry, physics and basic programming concepts. Each successfully completed task unlocks new building components, allowing kids to customise and upgrade their truck. The Cognitruck encourages imaginative play, while fostering critical thinking and spatial reasoning as kids solve challenges to build and enhance their toy, merging hands-on construction fun with cognitive skill development."
"lzmh2o3soqi2s-AIRLUT-107","Introducing the """"Quest Rover"""": a smart toy vehicle that incorporates augmented reality (AR) and interactive learning. The Quest Rover can be controlled via a mobile app that uses AR to overlay educational missions onto real-world environments. Children drive the rover to specific locations, where AR clues and puzzles appear on the screen. These puzzles range from code-breaking and math problems, to historical facts and science experiments. Solving these challenges rewards kids with virtual upgrades and new missions. The Quest Rover combines physical movement, digital interaction and educational content, engaging kids in active learning while boosting their cognitive skills and knowledge retention."
"lzmh2rb6fzxd1-AINLHD-109","first boat, this toy for kids could be a small- scale ferry with a functional loading ramp for miniature cars"
"lzmh2rb6fzxd1-AINLHD-109","This toy is a rugged SUV toy car with a detachable boat trailer is another idea for kid's toys adventure"
"lzmh2rb6fzxd1-AINLHD-109","The SUV and boat with connectors that allow kids to dissemble and assemble different parts, such as tires, boat elements"
"lzmh2u6hfs6x5-AINHHD-110","Aeroboat adventure. This inflatable hovrcraft combines a hoverboard and boat. Kids stand or sit as it glides over water, prpelled by an environmentally friendly silent electric motor. Its mobile, floats, offers endless fun as children navigate through lakes or pools, like mini explorers. The surprise element lies in the hybrid of land and water mobility, offering multi-terrain adventure."
"lzmh2u6hfs6x5-AINHHD-110","Floating robot battle fleet - this toy uses tiny, mobile, remote controlled robots equipped with water jets and canons, which float on programmable inflatable rafts. Kids can engage in naval battles in pools, coordinating team tactics through a smartphone app. It provides interactive fun and the novel desnign of combining robots with water combat creates a unique play experience."
"lzmh2u6hfs6x5-AINHHD-110","Holo glider dolphin - Combining a floating drone with augmented reality, this toy projects holographic images around the gliding drone as it floats in pools. Children wear AR goggles to interact with these projections, such as virtual dolphins they can feed, play underwater games with, or compete treasure hunts. The innovation of combining AR and floating drones offers a magical experience like no other."
"lzmh3ftcvtthl-AIRHHD-112","This toy is an alternate version of a cashier system. Aimed mainly at children aged 5-7, it enables the roleplay of a travelling merchant. The toy consists of a ring shaped desk that goes on over the head of the child and sits in place around the waist. The desk has a small cash machine on the left hand side and the clear section of the desk has velcro tabs or little hooks to hold products in place on display. The toy also comes with a wrist attachment that holds a pretend card reader (there's not a lot of room on the desk after the products are displayed)."
"lzmh3ftcvtthl-AIRHHD-112","This next design is slightly unusual; it takes the idea of a battery powered car/vehicle but adds a mathmatical element. In order to have driving time, the child must solve a number of age-appropriate equations. The child first imputs their age onto a tablet device and then selects the amount of minutes they would like to drive (5 minutes, 10 minutes, 15 minutes, 20 minutes, 30 minutes). The bigger the time window, the more equations they have to complete first."
"lzmh3ftcvtthl-AIRHHD-112","This design is kind of like a motivator - An interactive chatting robotic toy that has conversions with and motivates the child to solve daily equations and exercise for an hour everyday. It tracks progress and links to a smartwatch style device, telling the child how much more they need to do and suggesting fun and active activities."
"lzmh4ugi71aps-HMRLUT-115","The car has computerized information and breaks into various pieces. These pieces are like puzzles and they could be changed in different shapes."
"lzmh4ugi71aps-HMRLUT-115","The car could simulate certain situations so the child will get used to and not get car sick with the computerized information."
"lzmh4ugi71aps-HMRLUT-115","The race car with computer could jump different tracks without using the remote. It could also run automatic and stops when there are objects."
"lzmh4y5nax1ty-HMRHUT-116","may be a story book with moving fictional and coding adventures, like re-arranging the puzzles in a story book online."
"lzmh4y5nax1ty-HMRHUT-116","A tablet that has mathematical game on it. with calculations, but has designs and colors to make it more interesting for kids"
"lzmh4y5nax1ty-HMRHUT-116","building blocks with mobile tires, numbers and mathematical signs, using the numbers to build blocks with blocks that have tires"
"lzmh5a1rntpru-HMNLHD-117","An electically powered toy car, in which the child can sit and drive around at a safe speed, but which (at the push of a button) has wheels that fold in, James Bond Style, and a propeller which extends, making it into a floating boat for boating ponds"
"lzmh5a1rntpru-HMNLHD-117","A remote controlled vehicle which is an amphibious car, similar to the military Duck craft, which can be driven straight into water and will then switch to boat mode, so the child can seamlessly play with in on dry land or on water"
"lzmh5a1rntpru-HMNLHD-117","A toy which attaches to the back of a car seat, to entertain a child on long car journeys. It is a pirate boat simulator, with screens to show the progress of the pirate journey, and a big ships wheel for steering. The child can either just explore the oceans or play games, avoiding hazards and collecting treasure. There is also a sleepy mode, where gentle sounds/pictures of the ocean lull the child to sleep."
"lzmh5a1rntpru-HMNLHD-117","A land yacht - a powered land vehicle but which also has a sail. It is steered like a boat, with a tiller, and has maritime-style controls, to allow the child to play sailors while on dry land"
"lzmh9ammllsfq-HMNHHD-118","A fishing toy that can be placed in a pool or bucket of water with floating fish however you have to catch them with a gun that shoots a net. this should increase the interest and difficulty over a standard fishing toy"
"lzmh9ammllsfq-HMNHHD-118","A toy for use in a pool or the ocean that consist of two floating shoes tied together and the object is of the game is to be able to stand up on the shoes in the water."
"lzmh9ammllsfq-HMNHHD-118","A toy for use in the pool or the ocean that is a large floating device that you have to either paddle or maybe pedal and you can race your friends. For kids that ageit could be themed with a popular animated TV show"
"lzmhb2bcf59gl-HMRLHD-119","A more literal option would be a motorized mini car for children that is operated by a computer. There could be a screen with functions for the child to play with, much like real cars have for the driver. Maps, music, call making capabilities, etc."
"lzmhb2bcf59gl-HMRLHD-119","Combining traditional boy toys and objects more considered more interesting to advanced children (computers and tech), with a play on a transformer....the toy would be an elaborate sporty, futuristic car that transforms into a computer device on which the child can play games, listen to music...and there could be add-on packages with additional pieces that allows the child to expand on the car. Perhaps a feature that actually allows the child to design the add-ons for true enrichment and challenge for the more advanced child."
"lzmhb2bcf59gl-HMRLHD-119","Something that brings the old-fashioned hobby of model cars into the modern age. Children could use a computerized device to design concept cars. There could be a selection of pre-sets with all the basic shapes and parts, with the option to be more involved in the design of more outside-the-box options. There could then be the option to have the car 3D printed, taking it from concept to reality. There could be custom decals to apply on the physical model. The model could be a larger version of the motorised cars that exist for younger children/toddlers, for that children up to 11 can fit (this could be a setting in the software, where age/size can be specified), so that the child can go from designing the car to driving the car!"
"lzmjbx7ekb18c-HMRHHD-120","A toy for young children that combines an electric scooter with teaching mental arithmetic. In order to unlock the electric scooter, and range in the form of battery, they need to complete a series of mathematical problems."
